HSC	EarlyEryth	LateEryth	ProMono	Mono	ncMono	cDC	pDC	ProB	PreB	B cells	Plasma	CD4 Naive	CD4 Memory	CD8 Memory	gamma delta-like T	NK-like T	NK cells
HPGDS	SMC4	TCP11L2	HRH2	IQGAP1	SLC8A1	BATF3	RUNX2	PSMB9	ARPP21	TSTD1	ITGB1	KPNA5	DDIT4	MPZL3	BTN3A3	TRGC1	RNF165
CD63	ABCB10	LGALS3	CPD	CLEC12A	TNFRSF1B	CD74	PLAC8	H2AC8	MCTP2	NIN	SYNM	DYRK2	LTB	TRAV25	CXCR6	SYT11	PLEKHF1
PLXDC2	PTTG1	BCL2L1	VMP1	AQP9	MTSS1	SLAMF8	PTCRA	NEIL1	TRIM38	IER5	POU2AF1	ITK	CALM1	RGS1	MYADM	ZNF831	GK5
CDK6	AQP1	YPEL4	IGFBP2	THBS1	LILRB2	DPYSL2	LAMP5	ERG	LDLRAD4	PTPRK	SAMD12	AKTIP	TNFRSF25	ZNF699	IER2	HOXC4	KLRC1
MANF	BIRC5	YOD1	CCNL1	TNFSF13B	MYO1F	LGALS2	GAPT	ID3	SCAPER	RRAS2	HSP90B1	DOCK9	FXYD1	KLRG1	APOL6	RAB29	CD160
LGALSL	UBAC1	KRT1	DOCK10	S1PR3	RRAS	CST3	DAB2	CD81	MZB1	RASSF5	APOBEC3G	BCL11B	SLAMF6	PPP1R16B	NFKBIA	TRBC2	DIP2A
GSN	CLSPN	KLC3	PLEC	FPR1	PAG1	IGFBP7	SCN9A	DUT	CRYM	TRAF5	CSGALNACT1	ITGA6	PPP2R5C	KIF21A	TLE1	ZNF365	EFHD2
SLC18A2	MPC2	SLC2A1	HIF1A	RBP7	CEBPB	C1orf162	RNASE6	ARMH1	CD24	TMEM154	RIC3	AK5	RNF157	EPS8	SCGB3A1	TGFBR3	BNC2
CYTL1	DLGAP5	MAN1A1	ALOX5AP	DYSF	FCGR3A	GRASP	BCL11A	SCN3A	IGLL5	CD19	IGKV3-20	NOSIP	SYTL3	DNAJB1	APOLD1	CDKN2A	KIR2DL3
EGFL7	HMMR	SLFN14	ZBTB43	NFIL3	TMTC1	WDFY4	GAS6	MARCKSL1	KLHL14	P2RX5	ARID5B	IL6ST	HELB	SGPL1	IL18R1	SYNE2	MACF1
EREG	CCNB1	SELENBP1	SLC6A6	F5	C1QA	IL1R2	CCDC186	H1-2	H1-10	KHDRBS2	ZBTB38	TMEM30B	ANK3	GIMAP7	CAMK2N1	SYNM	GNLY
LDLRAP1	CDKN3	GLRX5	SH3BP2	CLU	PECAM1	EMP1	COBLL1	H2BC18	PITPNM2	IGHD	HERPUD1	HABP4	SGTB	STX1A	CPNE7	C1orf21	NMUR1
PCLO	TOP2A	TRAK2	CYTH1	CLEC7A	G0S2	AK5	SIGLEC6	IGFBP7	CDC25B	CLEC17A	RAB30	HAPLN3	PERP	PDGFD	PBX4	PCED1B	ADGRG1
TPM4	LMNA	BMP2K	FNDC3B	SGK1	CSF1R	COTL1	TRAF4	GIMAP2	IGLC2	SPON1	RASSF6	PDE3B	TIGIT	ATXN1	PARP8	BIN1	JAK1
SPINK2	APOC1	RB1CC1	EPB41L3	ANXA5	SPI1	ZNF503	LGMN	LRIG1	YBX3	BLK	CCR10	STMN3	ATP8B2	JAKMIP2	SLA	PLCXD2	LITAF
LAT	FAM89A	MARCHF8	UBE2D1	LCP1	SNX18	CRIP1	CYP46A1	TYMS	CD84	STAP1	SEL1L3	GADD45A	C1orf56	TNIP3	ADGRE5	CD3E	NKG7
KIFC3	H1-4	TFDP2	HSPB1	LRRK2	FCER1G	GPAT3	ERN1	MDK	FOXP1	FCRL1	PAPPA	NEFL	GALM	TNFRSF9	IL23A	RGS9	MATK
ID1	H3C2	AGPAT4	RECK	SLC16A6	HCK	PPP1R14A	LILRB4	RAG1	H2BC8	NCOA3	ETV7	CNN2	NEFL	KLRC4	NR4A2	GIMAP6	TGFA
CD34	TUBA1C	ACSL6	CSF3R	RAB31	HMOX1	HLA-DRA	TCL1A	MME	RHOQ	MEF2C	ERN1	APBA2	SCGB3A1	CCR5	SPOCK2	THEMIS	CELF2
SLC45A3	HEMGN	JAZF1	CSF2RB	CREB5	NAAA	AHR	CLIC3	H1-3	CD79B	PRMT2	TNFRSF13B	LEF1	DGKH	DKK3	IL10RA	PAPPA	SORL1
NPW	CDC20	WDR26	SELENOP	GASK1B	NR4A1	S100A10	LCNL1	H4C8	SATB1	PALM2AKAP2	CDC20	PCED1B	PTGER2	TPRG1	CALY	ABCA2	KIR3DL1
